AccX, AccY, AccZ, variable(xyz), isBump, Threshold High, Threshold Low, Car, GyrX, GyrY, GyrZ, latitude, longitude, timestamp, accuracy (m)
-0.1, 2.4, 9.7, Z, 0, 12.5, 7.5, indica None, 0.1, -0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
-0.1, 2.4, 9.7, Z, 0, 12.5, 7.5, indica None, 0.0, 0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
-0.1, 2.3, 9.8, Z, 0, 12.5, 7.5, indica None, 0.0, 0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
-0.2, 2.4, 9.7, Z, 0, 12.5, 7.5, indica None, 0.0, 0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
-0.2, 2.4, 9.7, Z, 0, 12.5, 7.5, indica None, 0.1, -0.1, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
-0.1, 2.5, 9.2, Z, 0, 12.5, 7.5, indica None, 0.1, -0.1, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
-0.1, 2.6, 9.0, Z, 0, 12.5, 7.5, indica None, 0.1, -0.1, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
-0.1, 2.6, 9.0, Z, 0, 12.5, 7.5, indica None, 0.1, -0.1, -0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
0.0, 2.5, 9.2, Z, 0, 12.5, 7.5, indica None, 0.1, -0.1, -0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
0.1, 2.3, 9.6, Z, 0, 12.5, 7.5, indica None, 0.1, -0.1, -0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
0.1, 2.3, 9.6, Z, 0, 12.5, 7.5, indica None, 0.0, -0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
0.2, 2.3, 9.7, Z, 0, 12.5, 7.5, indica None, 0.0, -0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
0.2, 2.3, 9.5, Z, 0, 12.5, 7.5, indica None, 0.0, -0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
0.2, 2.3, 9.5, Z, 0, 12.5, 7.5, indica None, 0.0, -0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
0.3, 2.3, 9.4, Z, 0, 12.5, 7.5, indica None, 0.0, -0.0, 0.0, 12.889581, 77.563345, 16-Jan-2017 4:55:59 PM, 9.0
