AccX, AccY, AccZ, variable(xyz), isBump, Threshold High, Threshold Low, Car, GyrX, GyrY, GyrZ, latitude, longitude, timestamp, accuracy (m)
1.8, 1.6, 9.6, Z, 0, 12.5, 7.5, Santro 2000, -0.0, -0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.6, 9.6, Z, 0, 12.5, 7.5, Santro 2000, -0.0, -0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.6, 9.6, Z, 0, 12.5, 7.5, Santro 2000, -0.0, -0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.6, Z, 0, 12.5, 7.5, Santro 2000, -0.0, -0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.6, Z, 0, 12.5, 7.5, Santro 2000, 0.0, 0.0, 0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.6, Z, 0, 12.5, 7.5, Santro 2000, 0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.5, Z, 0, 12.5, 7.5, Santro 2000, 0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.5, Z, 0, 12.5, 7.5, Santro 2000, -0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.6, 9.7, Z, 0, 12.5, 7.5, Santro 2000, -0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.6, 9.7, Z, 0, 12.5, 7.5, Santro 2000, -0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.6, 9.7, Z, 0, 12.5, 7.5, Santro 2000, -0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.7, Z, 0, 12.5, 7.5, Santro 2000, -0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.7, Z, 0, 12.5, 7.5, Santro 2000, 0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.7, Z, 0, 12.5, 7.5, Santro 2000, 0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
1.8, 1.5, 9.5, Z, 0, 12.5, 7.5, Santro 2000, 0.0, 0.0, -0.0, 12.928463, 77.571632, 18 Jan 2017 9:18:42 a.m., 31.2
