AccX, AccY, AccZ, variable(xyz), isBump, Threshold High, Threshold Low, Car, GyrX, GyrY, GyrZ, latitude, longitude, timestamp, accuracy (m)
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.2, -0.1, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.2, -0.1, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.3, 9.7, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.4, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.4, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.2, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.4, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.2, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.4, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.1, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.1, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.1, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.1, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.2, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.2, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.2, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.2, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.2, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 3.1, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.8, 2.9, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.1, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.8, 2.9, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.8, 2.9, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.8, 2.9, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.8, 2.9, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 2.8, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.3, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 2.8, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.2, -0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
-1.7, 2.8, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.1, -0.2, 0.0, 13.026404, 77.605504, 15 Jan 2017 10:48:38, 23.3
